station_name,station_index,station_latitude,station_longitude,venue_name,venue_id,venue_categories_str,venue_latitude,venue_longitude,venue_address,distance_from_station
St George & Broadway,1,49.262321,-123.09306,Subway,4c2527ceb7b8a5935fbf3de8,"Sandwich Spot, Fast Food Restaurant",49.26263046311194,-123.09027633756692,8-615 E Broadway,204
St George & Broadway,1,49.262321,-123.09306,Thai Son,518960a9498ea7adf1441495,"Vietnamese Restaurant, Noodle Restaurant",49.26287272793801,-123.09671107140775,373 East Broadway's,271
St George & Broadway,1,49.262321,-123.09306,BNS Cafe,56f0c4ce498e670546445e0a,Café,49.262795137553624,-123.09004697556101,691 East Broadway,224
St George & Broadway,1,49.262321,-123.09306,Main Street Farmer's Market,53b059b1498e6b0d6e9beb5d,Market,49.26380644691134,-123.09499981759448,2300 Guelph St,216
St George & Broadway,1,49.262321,-123.09306,Ba Le,5ae52e0786bc49002cd8ee1e,"Vietnamese Restaurant, Sandwich Spot",49.26272797877069,-123.08955457626858,691 E Broadway,258
Britannia Parking Lot,2,49.275882,-123.071865,Britannia Arena,4ad9f5e1f964a520671c21e3,Sports and Recreation,49.275811928354386,-123.07062601413644,1661 Napier st,90
Britannia Parking Lot,2,49.275882,-123.071865,East Vancouver Brewing Co.,59f2476c65cdf8641b5f85f7,Brewery,49.27686258235636,-123.07128299608272,1675 Venables Street,116
Britannia Parking Lot,2,49.275882,-123.071865,Uprising Breads Bakery,4ab67bd3f964a5205c7720e3,Bakery,49.276774734922455,-123.07070758341716,1697 Venables St,129
Britannia Parking Lot,2,49.275882,-123.071865,The Downlow Chicken Shack,5b242d9bc876c8002c2db876,"Fried Chicken Joint, American Restaurant",49.27637777639485,-123.06978143012144,905 Commercial Drive,160
Britannia Parking Lot,2,49.275882,-123.071865,Kin Kao,54d173b2498e8535cfe052f3,Thai Restaurant,49.276300498941644,-123.06969374545139,903 Commercial Dr,164
Britannia Parking Lot,2,49.275882,-123.071865,Sunrise Pizza & Steak House,4ab7c9c8f964a520cb7a20e3,Pizzeria,49.27590404651914,-123.06966016288172,949 Commercial Dr,159
Britannia Parking Lot,2,49.275882,-123.071865,Eternal Abundance,4cddb9c1c4f6a35d0b36c56c,Vegan and Vegetarian Restaurant,49.2754356025942,-123.06978275808531,1025 COMMERCIAL Dr,158
Britannia Parking Lot,2,49.275882,-123.071865,Bump n Grind Specialty Coffee,4aa82cd4f964a520d44f20e3,Coffee Shop,49.276378,-123.069391,916 Commercial Dr,187
Britannia Parking Lot,2,49.275882,-123.071865,The Lunch Lady,5f00f72289dce8008504b1fa,Vietnamese Restaurant,49.27497192659809,-123.0692566580991,1046 Commercial Drive,214
Britannia Parking Lot,2,49.275882,-123.071865,Deserts,4ad0dc41f964a52082da20e3,Indian Restaurant,49.27637777639485,-123.06978143012144,905 Commercial Dr.,160
Britannia Parking Lot,2,49.275882,-123.071865,Commercial Drive Licorice Parlour,5070da69e4b015d04ff82d13,Candy Store,49.27565156881698,-123.06931422446277,1002 Commercial Dr.,186
Britannia Parking Lot,2,49.275882,-123.071865,WindJammer,4f0f9ae2e4b0297e54688b59,Fish and Chips Shop,49.275981324586645,-123.0697478471029,937 Commercial Drive,153
Britannia Parking Lot,2,49.275882,-123.071865,Sweet Cherubim,4ce833c6fe90a35d053c410e,"Grocery Store, Café",49.27463695825924,-123.06954129593325,1105 Commercial Dr.,218
Britannia Parking Lot,2,49.275882,-123.071865,Moja Coffee,555df6c9498ec05757a9ef70,Coffee Shop,49.27470938305116,-123.06931555791446,1102 Commercial Drive,226
Britannia Parking Lot,2,49.275882,-123.071865,Pizza Garden,4aecb34ff964a52060ca21e3,Pizzeria,49.27512119515171,-123.06918816362447,1042 Commercial Dr.,211
Britannia Parking Lot,2,49.275882,-123.071865,Sula Indian Restaurant,5256c3bf498e4a720085f2cf,Indian Restaurant,49.27444154690829,-123.06913059866834,1128 COMMERCIAL Dr,254
Britannia Parking Lot,2,49.275882,-123.071865,Biercraft Tap And Tapas,4aa80271f964a520af4e20e3,"Tapas Restaurant, Beer Bar",49.273928020601524,-123.06969766764506,1191 Commercial Dr.,268
Britannia Parking Lot,2,49.275882,-123.071865,Dilly Dally,4cbb7e0a7148f04ddab0e2ab,Toy Store,49.27426686463952,-123.06976489612605,1161 Commercial Dr,235
Britannia Parking Lot,2,49.275882,-123.071865,Womyns Ware,4bce1b30937ca5933df0ad92,Miscellaneous Store,49.276784801625794,-123.0703027427511,896 Commercial Drive,151
Britannia Parking Lot,2,49.275882,-123.071865,Lime Japanese Cuisine,4aa7f9fff964a520684e20e3,Japanese Restaurant,49.27560551226839,-123.06979715074065,1130 Commercial Dr,153
Britannia Parking Lot,2,49.275882,-123.071865,Bomber Brewing,52ae14c511d2ab1eae1b6e61,"Brewery, Bar",49.27759234233072,-123.07465468201404,1488 Adanac St,277
Britannia Parking Lot,2,49.275882,-123.071865,Grandview Park,4ab533e0f964a520397320e3,"Park, Playground",49.27348782226023,-123.07022797161501,1657 Charles St,291
Britannia Parking Lot,2,49.275882,-123.071865,Food Stop,4c92a242f600236a49c1be32,Food and Beverage Retail,49.276527042043796,-123.06971293563747,901 Commercial Dr,171
Britannia Parking Lot,2,49.275882,-123.071865,Wander,4d36206fb5936dcb993defb8,Furniture and Home Store,49.27408636868043,-123.06926278932201,1146 Commercial Dr.,274
Britannia Parking Lot,2,49.275882,-123.071865,Havana,4aa7350bf964a520464c20e3,"Cuban Restaurant, Art Gallery",49.2736852934453,-123.06948003021795,1212 COMMERCIAL Dr,299
Britannia Parking Lot,2,49.275882,-123.071865,Bosa Foods,55eb388b498ea54db25b3868,Market,49.275878114566126,-123.06933341346337,,183
Britannia Parking Lot,2,49.275882,-123.071865,Britannia Sushi,4b71d2caf964a520905e2de3,Sushi Restaurant,49.2755382956317,-123.06930463000239,1016 Commercial Dr.,189
Britannia Parking Lot,2,49.275882,-123.071865,Kali,4b5ceba9f964a520d74a29e3,Furniture and Home Store,49.27565156881698,-123.06931422446277,1000 Commercial Drive,186
Britannia Parking Lot,2,49.275882,-123.071865,Robin's Pharmacy Ltd,4bc52df5693695218ad48388,Pharmacy,49.276480469267014,-123.06930329640825,908 Commercial Dr,197
Britannia Parking Lot,2,49.275882,-123.071865,Choices Markets,5635d50c498e966fc8ac8d7f,Grocery Store,49.27475595923671,-123.06972518806229,1045 Commercial Dr,199
Britannia Parking Lot,2,49.275882,-123.071865,Urban Empire,4c2d0b67e116e21eede98d60,Gift Store,49.27470938305116,-123.06931555791446,1108 Commercial Drive,226
Britannia Parking Lot,2,49.275882,-123.071865,Taiyo Sushi,4bfc3b7bb5cd2d7f4c4431fb,Sushi Restaurant,49.274096951344696,-123.06975050377692,1179 Commercial Dr.,250
Britannia Parking Lot,2,49.275882,-123.071865,Puff East Side,528fe4d2498eda9d142c5dee,Smoke Shop,49.27378782683724,-123.06939977587872,1204 Commercial Drive,293
Morton & Denman,3,49.28803,-123.142135,A-maze-ing Laughter by Yue Minjun,4c1823da834e2d7f0a812880,"Sculpture Garden, Public Art",49.28760167757351,-123.14192788963075,1800 Morton Ave,49
Morton & Denman,3,49.28803,-123.142135,Sylvia's Bar,4c773251f2473704719c65eb,Bar,49.28855882126698,-123.14261840208327,1154 Gilford St,68
Morton & Denman,3,49.28803,-123.142135,Marble Slab Creamery,4abbf55cf964a520ae8520e3,"Ice Cream Parlor, Dessert Shop",49.2874803409208,-123.14158539248946,1184 Denman Street,72
Morton & Denman,3,49.28803,-123.142135,Won More Szechuan Cuisine,4b946504f964a520947734e3,"Szechuan Restaurant, Chinese Restaurant",49.287328923852314,-123.14145853436418,201 - 1184 Denman St.,92
Morton & Denman,3,49.28803,-123.142135,Mediterranean Grill,4ac6a6dff964a520a5b520e3,"Greek Restaurant, Middle Eastern Restaurant",49.28784722950074,-123.14106463767676,1152 Denman St,80
Morton & Denman,3,49.28803,-123.142135,Bayside Lounge,4abef83df964a520a39020e3,Lounge,49.28727770892859,-123.14170035110453,1755 DAVIE St,89
Morton & Denman,3,49.28803,-123.142135,España Restaurant,50527ea7e4b0588850a3fbab,Spanish Restaurant,49.288019,-123.140467,1118 Denman St.,120
Morton & Denman,3,49.28803,-123.142135,Starbucks,4acfe023f964a52099d620e3,Coffee Shop,49.287257,-123.141227,1795 Davie St,108
Morton & Denman,3,49.28803,-123.142135,Beach Bay Café and Patio,556bba19498e194e658f529e,Café,49.2878178398575,-123.1414192746793,1193 Denman Street,56
Morton & Denman,3,49.28803,-123.142135,Babylon Cafe,4abad180f964a520108320e3,Falafel Restaurant,49.28769436218209,-123.14092198373142,1156 Denman Street,95
Morton & Denman,3,49.28803,-123.142135,Delany's Coffee House,4ad008e2f964a5205fd720e3,Coffee Shop,49.28819507398981,-123.14043333237312,1105 Denman St.,124
Morton & Denman,3,49.28803,-123.142135,Morton Park,520ece2611d2d4c4bfd3dd62,Park,49.28762223187683,-123.14197036395474,1800 Morton Ave,46
Morton & Denman,3,49.28803,-123.142135,The Three Brits Public House,4afa7953f964a520ec1722e3,"Pub, Restaurant",49.287129584547515,-123.14187295139207,1780 Davie St.,101
Morton & Denman,3,49.28803,-123.142135,Cactus Club Cafe,4d3a00006de7721eed15ea49,"New American Restaurant, Cocktail Bar",49.28675474926812,-123.14279589778042,1790 BEACH Ave,149
Morton & Denman,3,49.28803,-123.142135,Shamrock Alley,51b3e9fd498edc9cb202bada,Pub,49.28728776443572,-123.14129277174088,1184 Denman St,102
Morton & Denman,3,49.28803,-123.142135,Hot Dog Stand,4c9a745880958cfa070143d4,Fast Food Restaurant,49.287596452638425,-123.14253599154654,,56
Morton & Denman,3,49.28803,-123.142135,CRAFT Beer Market English Bay,604859d906d2a567129f63d3,Beer Bar,49.286628942260634,-123.1422097892335,1795 Beach Avenue,155
Morton & Denman,3,49.28803,-123.142135,English Bay Beach,4bcbdf5268f976b049e86183,"Beach, Scenic Lookout",49.28661337371541,-123.14283944417532,Beach Ave,165
Morton & Denman,3,49.28803,-123.142135,Papi’s Seafood And Osyter Bar,5d0598764a7aae002cadd632,Seafood Restaurant,49.28779726043526,-123.14133639285126,,63
Morton & Denman,3,49.28803,-123.142135,The Park at English Bay,4fa9855fd5fbb674a8873b8a,"Pub, Snack Place",49.28690459270856,-123.14127865037139,1755 Davie Street,139
Morton & Denman,3,49.28803,-123.142135,Zeitoon Persian Restaurant,503930c5e4b05a7a7146be85,Persian Restaurant,49.28796715630575,-123.14045861631479,1795 Pendrell Street,121
Morton & Denman,3,49.28803,-123.142135,Hook Restaurant,597418f115173e2ac2644b47,Seafood Restaurant,49.286922323136785,-123.14182931676017,1210 Denman St,125
Morton & Denman,3,49.28803,-123.142135,George Cunningham Memorial Sundial,51aa3d29498ed9fd87d6d9f3,Sculpture Garden,49.287447200039644,-123.14260432987089,Beach Ave.,73
Morton & Denman,3,49.28803,-123.142135,Kimprints,4caf9e401168a09362c72323,"Art Gallery, Gift Store",49.2878127118421,-123.14117547590799,1179 Denman St,73
Morton & Denman,3,49.28803,-123.142135,English Bay Bike Rentals,4bc3a0e7461576b022ed7e32,Bicycle Store,49.28672165285054,-123.1412443044783,1754 Davie St,159
Morton & Denman,3,49.28803,-123.142135,"English Bay ""Grass Area""",51edcecd498e66ca83d9a3ac,Park,49.2886514621254,-123.14254521514684,,75
Morton & Denman,3,49.28803,-123.142135,Legendary Noodle,4abfcaf5f964a5203c9220e3,"Noodle Restaurant, Asian Restaurant",49.288493,-123.139766,1074 Denman St,179
Morton & Denman,3,49.28803,-123.142135,D'oro Gelato e Caffè,541a612e498e554b587e4acb,"Ice Cream Parlor, Café, Dessert Shop",49.28827597821932,-123.13991720772545,1094 Denman Street,163
Morton & Denman,3,49.28803,-123.142135,Akira Sushi,4b66044ff964a520a40e2be3,Sushi Restaurant,49.2884924108981,-123.14010064403615,1060 Denman St,156
Morton & Denman,3,49.28803,-123.142135,Fatburger,4aa6be85f964a520e64a20e3,Burger Joint,49.28834892832925,-123.14058098235813,1101 Denman Street,118
Morton & Denman,3,49.28803,-123.142135,Care Point Medical Centre,4bf6f33a5ec320a1831686d3,Doctor's Office,49.28767378230308,-123.1408391019115,1175 Denman St,101
Morton & Denman,3,49.28803,-123.142135,Falafel King,4be8674c947820a1a3dcb4db,"Falafel Restaurant, Middle Eastern Restaurant",49.28811127754536,-123.14014647154274,1110 Denman St.,144
Morton & Denman,3,49.28803,-123.142135,BeerYani,5e2e693517ff6400083267ca,Indian Restaurant,49.287323795522965,-123.141214737137,1184 Denman St,102
Morton & Denman,3,49.28803,-123.142135,The Flat Log,5410886e498e36d35acd4df0,Castle,49.28718985118836,-123.14290676730845,,108
Morton & Denman,3,49.28803,-123.142135,Nat's Pizzeria,4aada3cff964a5201d6120e3,Pizzeria,49.288600189166004,-123.14010720315056,1080 Denman Street,160
Morton & Denman,3,49.28803,-123.142135,Ginger Garlic,4e98e72d55033ea8ab83cddd,Indian Restaurant,49.28654668891995,-123.14098596924961,Davie,184
Morton & Denman,3,49.28803,-123.142135,Quick Nickle,4bc9212d511f95212446adc7,Clothing Store,49.28701496571863,-123.14175613005976,1778 Davie St,116
Morton & Denman,3,49.28803,-123.142135,Gilaneh Grill House,5b4e9f756bd36b002cebafb8,Persian Restaurant,49.28846125858059,-123.13977082554014,1072 Denman Street,177
Morton & Denman,3,49.28803,-123.142135,Gelarmony,4b91e457f964a520fbdd33e3,"Ice Cream Parlor, Café",49.28811127754536,-123.14014647154274,1094 Denman St.,144
Morton & Denman,3,49.28803,-123.142135,Red Umbrella Cafe,4b197914f964a520f8dd23e3,Café,49.28628945292532,-123.14032442706474,1707 Davie Street,233
Morton & Denman,3,49.28803,-123.142135,JJ Bean,531f860e498e932bf3c1ecfb,Coffee Shop,49.28621733809335,-123.14055218135702,1209 Bidwell Street,231
Morton & Denman,3,49.28803,-123.142135,Brandon & Joanny's No Frills,4b54a00bf964a52071c327e3,"Grocery Store, Bakery, Farmers Market",49.28869059393502,-123.13914299011232,1030 Denman St,228
Morton & Denman,3,49.28803,-123.142135,Tre Viet,65399e06761cc615da851ec2,Vietnamese Restaurant,49.288018636873446,-123.14021966181625,,138
Morton & Denman,3,49.28803,-123.142135,Eye Kandee Lingerie,51076a5f164846261ad38fe0,Lingerie Store,49.2860887185986,-123.13981110366761,1685 Davie Street,273
Morton & Denman,3,49.28803,-123.142135,Slide,4c09c2a7009a0f477a6be8bf,Beach,49.286695806467606,-123.14270222401818,English Bay,153
Morton & Denman,3,49.28803,-123.142135,Cacao 70,586ac763ca10703aaa9ac903,Dessert Shop,49.28900164709903,-123.13949259564879,1047 Denman St,219
Morton & Denman,3,49.28803,-123.142135,Shi Zen Ya,5b65160ac03635002c2ce08c,Sushi Restaurant,49.28865679911432,-123.14011204918924,1059 Denman St,162
Morton & Denman,3,49.28803,-123.142135,Dollarama,5232582411d28a78f78f1a91,Discount Store,49.28840470215592,-123.13887364934193,"1779 Comox St, Denman Place Mall",240
Morton & Denman,3,49.28803,-123.142135,Bella Gelateria,6326a443605f426e5abe3188,Gelato Shop,49.286551818365325,-123.14122976443043,,176
Morton & Denman,3,49.28803,-123.142135,Mumu Kitchen,5fdebd5fcf5851777258981b,Fried Chicken Joint,49.28647462644004,-123.1411420372559,1738 Davie St,187
Thornton & National,4,49.273777,-123.092723,Trillium Park,4d9fad3083f0b1f7b0ae9fc7,"Park, Soccer Field",49.27430916113774,-123.09353997863239,National Ave,83
Thornton & National,4,49.273777,-123.092723,Coastal Ford Vancouver,4bb2137df964a520e8b63ce3,Car Dealership,49.27228014331606,-123.09206953240667,530 Evans Ave,172
Thornton & National,4,49.273777,-123.092723,Urban Home Outlet,51c5f572498e5479a24f360f,Furniture and Home Store,49.27206968202056,-123.0936741349246,,201
Thornton & National,4,49.273777,-123.092723,To Dine For,4f68d5dee4b0bb1b18b8af39,Burger Joint,49.27234337257349,-123.09588773855128,333 Terminal Avenue,279
Thornton & National,4,49.273777,-123.092723,national works yard,4faab92ee4b08e1c17c85165,Capitol Building,49.27326772285708,-123.08980078835602,701 National Ave,219
Thornton & National,4,49.273777,-123.092723,Java Express,4c1a7620b4e62d7f89d8d793,Café,49.27214727916589,-123.09465421612184,373 Terminal Avenue,228
Thornton & National,4,49.273777,-123.092723,Patisserie Lebeau,0c3694b6edba428315440563,"Bakery, Dessert Shop",49.272160903463146,-123.09003127076298,656 Evans Ave,265
Thornton & National,4,49.273777,-123.092723,Uniserve Communications,4e406fab62e17b948c1d5772,Mobile Phone Store,49.272379382871456,-123.0958096768282,Suite 330 - 333 Terminal Avenue,272
Burrard & 14th,5,49.259469,-123.145718,The Local Churn,07d8f66f21a24cfb37f2269d,,49.259743030644124,-123.14485545575947,1750 13th Ave W,69
Burrard & 14th,5,49.259469,-123.145718,Forte,638bf2c9affe66573701b486,Structure,49.25924876423006,-123.1446509729365,1755 W 14th,81
Burrard & 14th,5,49.259469,-123.145718,Mont Charles,4d8ccaf53bfef04dc38b7186,,49.26023729228876,-123.14505994085444,1777 West 13th Ave,97
Burrard & 14th,5,49.259469,-123.145718,Janzen Residence,4ea9b1584fc6d0cb8ba52f92,,49.25928472695998,-123.14724888062955,,112
Burrard & 14th,5,49.259469,-123.145718,Nutrawise Enterprises Ltd,846dc545526a4dbcab96eee7,"Grocery Store, Health Food Store",49.258888282576905,-123.1472149370764,1846 14th Ave W,126
Burrard & 14th,5,49.259469,-123.145718,mi casa es su casa,4ff510f0e4b0a7f73fb4193e,Lounge,49.25835800254198,-123.14619648948225,,128
Burrard & 14th,5,49.259469,-123.145718,Rape Crisis Centre-Women Against Violence Agains t Wo,dec2454e88954b000595eefc,,49.26066457436337,-123.14655613315689,1826 12th Ave W,146
Burrard & 14th,5,49.259469,-123.145718,Granville Park,4c7e9351e4b06dcb2e8444d7,Park,49.25883687988866,-123.14388592238033,,150
Burrard & 14th,5,49.259469,-123.145718,Temple Of Trouble,4f7b3febe4b0be463900a8f5,Structure,49.26052048333635,-123.14419218810491,,160
Burrard & 14th,5,49.259469,-123.145718,Brendan and Terry's,4da14068bf22a143e82e98f8,,49.261153743030135,-123.14473293291944,55 East Cordva,200
Burrard & 14th,5,49.259469,-123.145718,Fit4real,5d5cf12cf6fe454a0575f02a,Sports and Recreation,49.260196136052215,-123.14311025400966,1685 13th Ave W,205
Burrard & 14th,5,49.259469,-123.145718,Bears,4c983a24671db60c3fe8b7f6,Zoo Exhibit,49.261044,-123.147481,1875 west 13th,216
Burrard & 14th,5,49.259469,-123.145718,The Nerd Cave,4d994d8c2bd6f04dfc397c50,Arts and Entertainment,49.25789465759003,-123.14388637808877,,219
Burrard & 14th,5,49.259469,-123.145718,WeightWatchers,ce28576bb2ccff84e1150ab2,,49.25748269987015,-123.1466891647184,1825 16th Ave W,231
Burrard & 14th,5,49.259469,-123.145718,Canadian Memorial Church & Centre for Peace,4c1a5dd2624b9c74156a1204,Church,49.25748269987015,-123.1466891647184,1825 W. 16th Ave,231
Burrard & 14th,5,49.259469,-123.145718,Christian Science Churches & Societies,23ddd2df50b3458a6b876136,Church,49.260762302313324,-123.14851064282499,1900 12th Ave W,248
Burrard & 14th,5,49.259469,-123.145718,Susan Edwards Voice and Piano Instruction,ff7208c99e404f54044abd55,,49.2574569370993,-123.14725456191013,1811 16th Ave W,249
Burrard & 14th,5,49.259469,-123.145718,Virginia House,cf983c9d8358414783d9049f,Hospital,49.261642851536145,-123.1446937068311,1754 11th Ave W,252
Burrard & 14th,5,49.259469,-123.145718,Wines & Things,e703ed7aa1cd4ca13207bd62,Wine Store,49.25740030070678,-123.14724971291776,1849 16th Ave W,255
Burrard & 14th,5,49.259469,-123.145718,She Ain't E N O It: A Sex Club,54f2b33b498ee77ce444c6b4,Beach Bar,49.26102505881081,-123.14310009635268,,256
Burrard & 14th,5,49.259469,-123.145718,Granville Park Playground,4e7a6bd289988fdf771071a6,Playground,49.257966744556924,-123.14283840077407,,267
Burrard & 14th,5,49.259469,-123.145718,swoods Lounge,4cd62120dfb4a1cd0a9d5d5c,,49.258821243019945,-123.14939854466782,1946 west 14th ave,276
Burrard & 14th,5,49.259469,-123.145718,Rooms And Spaces,64fe4937047b9959c4ce6218,Furniture and Home Store,49.261967,-123.1454,1740 W Broadway,278
Burrard & 14th,5,49.259469,-123.145718,Woodwards Building Penthouse II,4f0e573ae4b0a8783e4bf72d,,49.256936925535285,-123.14672352750816,,290
Burrard & 14th,5,49.259469,-123.145718,Jan Spitzner Agencies,5aef79d8cafc4f275e7b7f44,Furniture and Home Store,49.25930004175792,-123.14976389976712,1965 14th Ave W,294
Burrard & 14th,5,49.259469,-123.145718,Granville Park Lawn Bowling Club,4ae0c44df964a520488221e3,Bowling Alley,49.25851251252527,-123.14191202918805,W.14th,295
Burrard & 14th,5,49.259469,-123.145718,Kitsilano Christian Community Church,9829728cf0344c264788295b,Church,49.256942120946796,-123.14429138635333,1708 16th Ave W,299
Burrard & 14th,5,49.259469,-123.145718,Porche,4c660f4a255e9521f93cd4d8,,49.262008406057106,-123.14415735347596,Pine St,304
Burrard & 14th,5,49.259469,-123.145718,Golden Key,4c0f03a9d64c0f47973c295d,Church,49.256849440701345,-123.14436454152741,1708 West 16th Avenue,307
Olympic Village Station,6,49.266314,-123.116011,Caffè Cittadella,4c75baefdb52b1f7c5b979dc,"Café, Coffee Shop",49.264825384675746,-123.11734283669146,2310 Ash St,191
Olympic Village Station,6,49.266314,-123.116011,Menchie's,4f0f9e5ee4b0725fea69f095,"Frozen Yogurt Shop, Ice Cream Parlor, Dessert Shop",49.26477393506128,-123.11503276462442,2315 Cambie St,185
Olympic Village Station,6,49.266314,-123.116011,Best Buy,4aa9a13cf964a520965420e3,Electronics Store,49.2655502,-123.1143457,2220 Cambie St.,147
Olympic Village Station,6,49.266314,-123.116011,Hot Pink,4fdbf49da17c490bc805d53d,Art Gallery,49.26684990195161,-123.11302248352392,2075 Yukon St.,224
Olympic Village Station,6,49.266314,-123.116011,HomeSense,4d95113ce07ea35d25829f02,Furniture and Home Store,49.2644870027217,-123.11444328316051,491 W 8th Ave,232
Olympic Village Station,6,49.266314,-123.116011,Whole Foods Market,4aa73d25f964a520704c20e3,"Grocery Store, Health Food Store, Organic Grocery",49.264017781723304,-123.11530270683869,510 W 8TH Ave,260
Olympic Village Station,6,49.266314,-123.116011,Pepper Lunch,5705f978498e2fee241e3918,Asian Restaurant,49.26459527257519,-123.11510136889572,2323 Cambie Street,202
Olympic Village Station,6,49.266314,-123.116011,VPD HQ,4ea2e78de3008f7d9245fe4d,Police Station,49.26641243257705,-123.11371519094665,2120 Cambie street,166
Olympic Village Station,6,49.266314,-123.116011,Whole Foods Cafe,67faaf1ee304dc6712532894,Café,49.26383,-123.115048,425 Cambie St,284
Olympic Village Station,6,49.266314,-123.116011,Winners,4af23d6bf964a520d9e621e3,"Department Store, Clothing Store, Luggage Store",49.2645066,-123.1144545,491 8th Avenue West,230
Olympic Village Station,6,49.266314,-123.116011,Starbucks,4aa983e6f964a520095420e3,Coffee Shop,49.264237,-123.114506,2378 Cambie St,255
Olympic Village Station,6,49.266314,-123.116011,Starbucks,4aa9212ff964a520185220e3,Coffee Shop,49.267179,-123.113134,2035 Yukon St,229
Olympic Village Station,6,49.266314,-123.116011,Solly’s Bagelry,4ab145f3f964a520d56820e3,"Bagel Shop, Bakery",49.264783929651465,-123.11269758434084,368 W 7th Ave,294
Olympic Village Station,6,49.266314,-123.116011,BC Liquor Store,4ae5fabbf964a520bca321e3,Liquor Store,49.2642772144537,-123.1150680846319,2395 Cambie St,236
Olympic Village Station,6,49.266314,-123.116011,Westcoast Poke,5837565d016217169f1b1795,Poke Restaurant,49.264044109489355,-123.11400000113967,463 8th Ave W,291
Olympic Village Station,6,49.266314,-123.116011,Save-On-Foods,4aad3e92f964a520365f20e3,"Supermarket, Grocery Store, Pharmacy",49.2646753,-123.1144525,2308 Cambie St,214
Olympic Village Station,6,49.266314,-123.116011,WFM Coffee Bar,54b2b74b498ee334f9cb197e,"Coffee Shop, Café, Tea Room",49.26386419288343,-123.11528237269894,510 W 8th Ave,277
Olympic Village Station,6,49.266314,-123.116011,Uncle Fatih's Pizza,4cd3115772a1a1cd3b376351,Pizzeria,49.26406472367871,-123.11408286495367,477 West 8th Ave,286
Olympic Village Station,6,49.266314,-123.116011,Ebisu on Broadway,4b16d55ff964a5201dbe23e3,Japanese Restaurant,49.26411573003395,-123.11813705816586,B16 - 601 W. Broadway,288
Olympic Village Station,6,49.266314,-123.116011,The Home Depot,4ad50f49f964a520940121e3,Hardware Store,49.26425241908885,-123.1142738326844,2388 Cambie Street,261
8th & Macdonald,7,49.264928,-123.168068,Vancouver Public Library - Kitsilano,4afa3c9cf964a520751722e3,Library,49.26470795025557,-123.1686341827829,2425 MacDonald St.,47
8th & Macdonald,7,49.264928,-123.168068,Olive + Ruby,580a933738faca6bcaf1eba1,"Café, Coffee Shop, Juice Bar",49.2642702115545,-123.16932633644015,2839 W Broadway,116
8th & Macdonald,7,49.264928,-123.168068,Persia Foods,500337e5e4b0c123de4e26ed,Grocery Store,49.26428569480135,-123.1691654992588,2827 Broadway W,106
8th & Macdonald,7,49.264928,-123.168068,Starbucks,4cacea4a44a8224b718e3740,Coffee Shop,49.264353133041745,-123.1669820189982,"2733 Broadway W, Safeway Grocery Store",101
8th & Macdonald,7,49.264928,-123.168068,Broadway International Wine Shop,4b159494f964a52034af23e3,Wine Store,49.26388973571798,-123.16734764550245,2752 W Broadway,126
